,id,uniprotID,Gene.names,LFQ.intensity.MT302_FLAG_1,LFQ.intensity.MT302_FLAG_2,LFQ.intensity.MT302_FLAG_3,LFQ.intensity.MT302_ORF2_1,LFQ.intensity.MT302_ORF2_2,LFQ.intensity.PA1_ORF1_1,LFQ.intensity.PA1_ORF1_2,LFQ.intensity.PA1_ORF1_3,LFQ.intensity.PA1_ORF2_1,LFQ.intensity.PA1_ORF2_2,LFQ.intensity.PA1_ORF2_3
119,118,ORF1p.81,,0,0,0,0,0,0,0,15.2048752,0,0,0
120,119,Q9UN81,L1RE1,0,0,15.21873578,0,13.35881005,0,0,15.80663988,0,0,0
121,120,ORF1p.109,,0,0,0,0,0,0,14.16644908,0,0,0,0
122,121,ORF1p.110,,0,16.44840609,0,0,0,0,0,15.83078684,0,0,0
123,122,ORF1p.111,,0,0,0,0,0,12.19009569,0,0,0,0,0
124,123,ORF1p.114,,0,0,0,0,0,14.36824558,0,0,0,0,0
125,124,ORF1p.118,,0,0,0,0,0,0,0,16.30108365,0,0,0
126,125,ORF1p.122,,0,0,14.42918154,0,0,16.45628071,0,16.23712236,0,0,0
127,126,ORF1p.125,,0,0,0,0,0,0,0,16.14473758,0,0,0
128,127,ORF1p.127,,0,0,0,0,0,0,0,14.09352101,0,0,0
129,128,ORF1p.139,,0,0,0,0,0,0,0,13.73733278,0,0,0
130,129,ORF1p.16,,0,0,15.85013777,0,0,0,0,17.29057779,0,0,0
131,130,ORF1p.18,,0,12.60535199,0,0,0,0,0,14.74991622,0,0,0
132,131,ORF1p.21,,0,0,0,0,0,0,0,14.82255565,0,0,0
133,132,ORF1p.23,,0,0,14.00753489,0,0,0,0,14.31385866,0,0,0
134,133,ORF1p.29,,0,0,0,0,0,0,0,15.20475058,0,0,0
135,134,ORF1p.30,,0,0,0,0,0,0,0,13.48856084,0,0,0
136,135,ORF1p.42,,0,0,0,0,0,12.95429969,0,0,0,0,0
137,136,ORF1p.45,,0,0,12.4108078,0,0,0,0,13.85895312,0,0,0
138,137,ORF1p.48,,20.00490341,19.95853672,19.69018845,17.31977583,17.63809014,20.71996038,20.98716738,20.85411865,0,0,0
139,138,ORF1p.6,,0,0,0,0,0,0,0,13.84506936,0,0,0
140,139,ORF1p.61,,0,0,0,0,0,0,0,15.63027015,0,0,0
141,140,ORF1p.62,,0,0,0,0,0,0,0,14.62621853,0,0,0
142,141,ORF1p.70,,0,0,13.93834747,0,0,0,0,0,0,0,0
143,142,ORF1p.76,,0,0,14.23310185,0,0,0,0,15.53460972,0,0,0
144,143,ORF1p.77,,0,0,13.20322421,0,0,0,0,0,0,0,0
145,144,ORF1p.89,,0,0,0,0,0,0,0,15.34167555,0,0,0
146,145,ORF2p.129,,0,0,14.01263862,0,0,0,0,0,0,0,0
147,146,ORF2p.132,,19.89198239,19.86755267,19.96453426,19.69746711,19.90519015,0,0,0,0,0,0
148,147,ORF2p.151,,0,0,13.80436872,0,0,0,0,0,0,0,0
149,148,ORF2p.158,,0,0,12.43041548,0,0,0,0,0,0,0,0
150,149,ORF2p.159,,0,0,12.73687735,0,13.73947149,0,0,0,0,0,0
151,150,ORF2p.176,,0,0,17.43742188,0,17.75167969,0,0,0,0,0,0
152,151,ORF2p.182,,0,0,13.97148814,0,0,0,0,0,0,0,0
153,152,ORF2p.184,,0,0,16.27158897,0,15.33823523,0,0,0,0,0,0
154,153,ORF2p.192,,0,0,15.84257928,0,15.03071999,0,0,0,0,0,0
155,154,ORF2p.197,,0,0,0,13.18813239,0,0,0,18.37659301,0,0,11.68813848
156,155,ORF2p.204,,0,0,0,0,0,0,0,0,0,0,9.193824737
157,156,ORF2p.226,,0,0,0,11.55002855,0,0,0,0,0,0,0
158,157,ORF2p.242,,15.00359785,0,0,0,14.87973842,0,0,0,0,0,0
159,158,ORF2p.245,,14.53095725,0,0,0,0,0,0,0,0,0,0
160,159,ORF2p.253,,0,0,12.93745448,0,0,0,0,0,0,0,0
161,160,ORF2p.289,,0,14.34707954,0,13.905077,0,0,0,0,0,0,0
162,161,ORF2p.293,,0,0,12.00621828,0,0,0,0,0,0,0,0
163,162,ORF2p.48,,16.73700408,16.63361026,16.55396063,16.08880071,16.11635414,0,0,0,0,0,0
164,163,ORF2p.52,,0,0,11.40242956,0,0,0,0,0,0,0,0
165,164,ORF2p.96,,0,0,13.71656277,0,0,0,0,0,0,0,0
